No;Reason;Date;Time;RPM;PF;LChr;IL1;IL2;IL3;Mfrq;Vm1;Vm2;Vm3;Vm12;Vm23;Vm31;VBat;OilP;EngT;FLvl;AIN4;BIN;BOUT;Gfrq;Vg1;Vg2;Vg3;Vg12;Vg23;Vg31;Q;Pwr;Mode
-86;Not Ready;23.06.2002;08:05:53;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,7;3,7;50;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-87;Ready;23.06.2002;08:05:50;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,7;3,7;49;52;#####;00000001 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-88;Wrn MCB Fail;23.06.2002;08:04:48;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,8;3,7;50;52;#####;00000000 00000000;00010000 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-89;Fault reset;23.06.2002;08:04:41;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,8;3,7;49;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-90;Wrn MCB Fail;23.06.2002;07:52:56;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;52;#####;00000000 00000000;00010000 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-91;Not Ready;23.06.2002;07:52:50;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,8;3,6;49;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-92;Switched On;23.06.2002;07:52:49;Config loaded
-93;Programming Request;23.06.2002;07:49:38;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,8;3,7;50;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-94;Password set;23.06.2002;07:49:38;T=CELL 1 
-95;Wrn MCB Fail;23.06.2002;07:41:30;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,8;3,7;50;52;#####;00000000 00000000;00010000 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-96;Not Ready;23.06.2002;07:41:24;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,8;3,6;49;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-97;Switched On;23.06.2002;07:41:23;Config loaded
-98;Programming Request;23.06.2002;07:38:03;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,8;3,7;49;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-99;Password set;23.06.2002;07:38:03;T=CELL 1 
